2222 45693
2049 1034 1054
1373 655 2555
1852 1903 2785
1149 2099 8533
91 1236 6454
395 1993 7695
1318 921 2998
1136 1646 4550
928 1450 7290
225 1521 9519
2116 392 2324
1642 2146 707
1887 731 1333
1284 637 377
1379 1725 7159
1262 1887 2238
647 1862 813
1215 2116 6712
2195 281 9504
2184 1889 7856
230 1369 8147
1544 2212 8024
224 1818 5558
359 1184 1513
2193 1377 1249
1023 244 1665
2163 898 8614
1302 2103 6859
75 68 535
1209 1793 7241
122 543 8940
2187 1523 5229
1099 1347 8955
2195 541 7305
1779 46 2308
193 677 8948
1433 179 2420
1292 13 7049
2040 217 1050
478 1140 1301
130 585 2971
993 293 8064
478 1515 4243
825 1825 2574
1233 776 6357
2148 784 4315
2022 2071 3518
1655 1162 4507
88 1027 4840
1304 1544 1910
851 758 1011
521 16 8269
606 1248 8961
2057 1364 3759
671 1984 190
905 176 2461
605 1660 919
598 72 9311
1994 1858 9056
683 1838 6294
2203 509 4432
1071 1337 4299
1388 559 787
883 1653 8289
439 2113 7993
1361 1231 3782
1969 1511 2768
695 1070 6734
583 2057 2738
53 680 6938
805 1972 7602
1237 73 1496
325 195 8005
1323 1800 2875
1752 995 2763
472 1341 4406
895 1990 7338
1866 155 6424
217 841 6494
1757 26 6761
30 492 4487
691 681 7572
1253 397 2880
1745 836 5700
97 524 6047
704 1008 6040
1129 1864 7444
1870 1929 8499
2126 181 3932
1464 1344 3004
312 655 345
1638 687 1420
1453 1563 8434
7 1636 5181
1802 1666 2441
1545 1001 3194
2095 995 490
87 1362 1889
320 1443 8119
196 1106 5776
2025 109 4335
1139 1075 4350
1186 1803 2381
742 1949 4849
74 1173 1264
1546 2199 1553
986 1826 4009
91 2078 1510
1027 1898 411
1614 1385 211
721 1016 3994
731 915 2961
716 2126 7707
1942 487 3614
243 550 4580
1245 789 3239
2197 85 3190
2003 2035 9366
690 1820 965
554 960 5282
236 1626 5470
1456 168 571
1010 512 1946
16 179 2011
110 229 8537
1377 330 3540
262 3 2250
1554 405 1885
1738 1798 3287
558 611 8462
1481 1187 9174
239 635 7966
1245 1741 4136
1492 2035 4970
831 868 2003
576 1732 8033
638 695 5824
1312 1089 7517
565 692 7133
617 1354 62
856 1547 9680
429 1564 9033
990 343 8689
434 1943 5627
1980 1498 4521
2105 1614 9137
1318 29 6285
1044 1817 1372
1020 919 3784
2004 218 3187
2060 1510 4607
1326 711 1149
1090 270 4865
2154 2023 583
539 2170 400
1022 16 8135
1668 472 2818
819 1098 7004
370 2087 3236
2059 1036 856
543 858 8333
1266 726 6506
675 2214 3000
119 355 1765
791 1973 7641
589 1943 4698
737 243 1408
2170 106 82
2166 1383 7486
637 807 347
134 1901 6131
2202 486 4346
118 839 4452
1065 787 2550
1279 444 5661
909 1869 5026
701 142 1118
1565 1766 9881
1504 2114 2231
306 331 4399
1556 1538 2224
1125 586 5786
90 1918 6350
1075 1766 5791
1575 540 4386
574 1823 1322
375 1450 7734
346 113 173
477 1969 6744
301 311 9809
369 1047 6962
392 452 8086
23 753 7560
689 763 2897
1092 1520 858
339 605 9280
331 477 5999
184 1485 6651
1991 1166 2896
623 735 6274
1752 625 5801
474 1814 486
1860 361 8504
1735 1067 8805
571 1965 2130
1434 2159 9831
1653 1098 1179
121 559 4098
2122 691 5814
367 2196 1138
1371 2128 1199
1876 1105 8397
199 994 8026
124 1323 7655
1336 893 7902
866 1176 806
1876 1571 3693
305 1131 6433
1206 520 5097
841 263 8425
209 674 2039
2193 575 8656
970 558 143
935 85 6019
1917 1969 2084
882 2032 7807
2072 1396 5847
1597 299 9292
1697 1804 8916
275 1737 1448
1909 1168 4095
247 806 7755
489 1033 2843
600 1087 1819
935 1502 1864
1485 1331 6428
1134 796 4328
1268 673 3366
298 2161 6934
669 1525 7782
62 1930 284
1772 164 2840
885 1921 4913
1059 1350 4546
1719 531 8066
559 1414 6518
884 1750 8234
1736 522 5405
1726 1666 9213
1212 1656 5271
65 663 2388
296 1917 9638
505 1397 3643
799 1595 9236
754 76 2136
511 1474 8203
1629 638 9884
97 2054 6287
928 1593 4844
1079 1985 9828
145 879 1846
400 391 9005
290 353 5256
1862 4 5803
1429 1242 9488
1752 117 8182
118 753 9245
922 181 9531
1387 1510 2737
1018 1666 1777
249 1282 7212
531 880 3212
1308 437 3773
2167 443 5766
419 296 2520
1705 2139 1785
622 467 4196
546 291 5908
160 1330 1760
1774 917 48
704 391 1983
548 1882 1818
268 1997 6499
1262 1084 4640
1387 1129 8224
627 1636 5257
798 1468 8906
1831 1153 345
682 348 269
1455 651 7230
1682 1249 8180
253 290 1989
1881 1038 6688
925 1064 950
1799 103 2857
2044 219 508
757 1256 2070
827 170 7267
976 1492 2245
1994 1024 7213
405 249 8602
37 162 2340
1359 126 3384
1126 760 7183
896 705 3989
963 420 9625
1319 281 5552
1728 760 7358
417 2190 6173
183 1847 620
1393 1762 8379
1314 2141 3851
2050 2052 2127
287 184 9124
1362 882 1187
1463 1434 6581
586 539 7266
407 1699 6251
1730 452 8943
1195 994 3275
1229 480 6690
1798 468 5304
1934 27 5371
507 365 618
160 2117 6894
808 1429 1024
137 493 4284
2194 2105 9500
1312 498 1111
124 1443 5630
1680 2052 6508
440 2054 6030
1131 1243 2893
9 872 7737
1387 660 9318
1568 923 5435
297 1640 8399
11 2129 4269
2111 1236 7077
1253 1834 9391
1116 320 3479
1402 543 2891
1809 1079 8166
228 1064 7338
909 1559 984
744 61 2194
1525 1329 2720
1857 367 3102
1973 185 9822
310 1873 4231
1381 1311 132
337 325 1260
1172 507 3640
1299 1244 2153
269 118 1294
1419 655 9056
142 2032 3388
669 459 7990
2218 1827 1663
1355 880 2981
1820 1239 447
1474 656 9458
436 932 8685
1971 1184 1931
867 1923 3608
977 1365 878
979 423 5185
767 2114 7324
622 781 8440
822 1060 9134
244 491 5924
1439 1798 1941
1059 613 5296
280 813 5579
342 1474 7118
136 2180 2490
1466 243 6231
2080 927 4640
25 924 8100
1943 1992 889
455 1131 2542
366 1718 4664
1070 255 4917
1187 1589 3048
1238 857 139
1496 230 9629
515 1420 1240
1392 856 6963
1103 1398 2998
1129 647 7220
797 2068 7580
1333 972 5973
1844 1505 7484
1045 1991 1724
1964 2090 7508
388 2083 4591
315 36 7541
1383 280 6511
1907 1056 4886
1552 1277 2302
1270 301 5884
193 1275 3799
1936 124 8745
176 1901 5743
348 2043 179
774 786 538
2155 2170 4704
630 1676 4485
1046 260 1000
1878 2182 2009
1916 522 6365
1270 1490 498
2029 1356 9504
1720 1041 5355
763 1251 6414
1574 66 5563
228 646 9878
1300 1602 2287
1334 1743 9942
1941 590 7758
1691 740 409
761 1432 4919
1655 1556 5488
348 1890 2407
516 1042 9240
1381 1732 632
1327 1699 5518
223 883 9239
1576 888 946
1144 826 6438
1634 2146 9986
1701 728 1789
254 236 6022
98 966 7974
1302 1725 6206
1391 1948 7638
1501 120 1180
968 1653 8579
2047 1948 2470
1706 1720 8984
238 1351 5046
947 392 7002
952 1590 1511
249 2070 8964
641 1956 6479
1305 551 8698
1852 505 9178
817 1046 1265
1895 2176 7270
416 1229 9212
1372 1925 4067
38 2029 5485
1550 1946 2751
665 631 7497
542 2034 120
913 2031 6422
2102 523 6959
1947 859 2690
1951 1942 9366
78 317 4527
1234 193 5482
222 233 3425
1400 1326 1855
991 917 7445
1250 1742 5459
2080 782 4229
296 2122 8914
207 941 1369
872 762 2567
1293 2035 35
915 599 7293
1132 2098 5695
960 1825 4510
414 1023 7712
556 1818 2141
1172 149 3772
1024 277 407
525 429 9139
466 1489 7399
226 2036 54
196 1489 6375
427 1403 5104
1196 1634 571
1583 1552 1293
2187 162 1238
1704 1314 9689
1043 1208 2574
519 1020 4576
1084 1121 3678
1503 871 5061
2116 2119 4425
2030 2048 1666
973 2002 4121
492 1160 7627
2085 1643 1274
181 2109 7538
1051 776 3198
1269 1055 1920
509 1269 974
474 986 5985
150 2094 3744
556 1761 565
1409 1146 1905
1207 143 998
1329 96 1020
76 798 6932
1591 14 1803
2175 1241 1766
1798 1400 3444
1577 1598 2241
1999 868 3024
497 1778 6471
616 281 7492
1244 1524 7047
1994 1094 3803
1953 57 2986
408 1139 2729
464 62 768
1835 337 8254
10 1539 5248
1668 2110 5761
537 566 5503
1620 315 2562
2106 626 2189
1805 827 6812
246 2112 9136
251 367 7055
185 2003 1472
906 355 7285
110 1147 6821
2072 2172 6128
544 362 7501
1359 1674 1124
1561 1153 2149
1386 1765 1950
621 775 4154
1962 1650 9259
1372 1713 4373
1563 1812 9822
1836 1168 6588
1721 362 1267
1278 2046 5185
823 2092 4144
1629 32 622
472 387 4059
604 38 9596
1784 2083 6830
67 1941 1359
1661 474 1988
62 958 332
1430 732 9350
826 184 8961
313 1659 2932
1262 1122 6042
455 1257 574
126 1090 7915
1926 1324 7853
320 562 4813
1500 351 7658
147 1332 5244
1064 249 5554
1485 60 862
1142 1699 7876
1210 290 5463
1253 1200 7198
379 2082 1087
1817 2141 5856
1422 2044 1749
1786 840 4952
1785 1052 2766
1829 1606 6209
1540 1185 5789
1087 1781 3118
1480 1578 9006
530 555 9669
1619 359 4536
1146 274 5317
684 1247 141
1673 812 3281
2092 956 1625
1444 1667 7523
1560 1781 1240
1799 850 7457
921 35 4145
779 125 3218
82 431 7762
1463 451 3543
749 131 1432
1310 1914 6810
252 195 2989
1926 921 8183
2039 1566 3168
1796 471 5713
501 779 5704
1439 1106 9332
679 1233 875
1005 1403 2153
2054 1056 5775
1712 172 3810
2035 1957 3844
190 233 3070
1134 1997 9578
1530 920 3680
1000 1456 6451
1525 689 9891
743 30 2260
1594 1458 601
235 1713 225
955 772 2001
627 2193 3524
1679 442 7871
550 1151 4195
285 2026 5411
127 1484 352
569 1696 3579
412 1797 9211
1413 1428 856
2002 2021 5813
1154 1795 6156
619 1929 9601
1682 1652 1006
984 656 5292
873 1108 5762
2140 2068 537
13 2189 4815
1130 2214 2079
861 1989 1807
1847 1078 2694
1924 2028 5395
2186 1521 546
156 1485 4146
2188 1446 3764
1717 273 923
576 231 7094
123 710 9976
1043 803 8474
1325 2053 8413
1639 1694 6303
109 1010 1257
287 420 6821
1488 1667 2377
290 1621 6813
1227 1223 2036
1785 1809 6906
192 1911 1166
1433 1721 3728
918 2011 4495
256 1691 8187
2222 464 4514
581 1553 7405
1357 1966 1766
1266 1089 9458
1218 2138 7093
1434 1925 8102
1465 1836 4918
1699 437 9843
875 568 9944
706 1229 9183
467 1013 8382
1488 57 7555
934 921 9608
1607 1067 2931
1264 1858 4362
921 1893 6063
2015 545 4296
2122 1238 8222
624 8 4581
224 2100 2047
1437 225 4712
636 486 5772
1763 657 8849
1627 1861 8737
278 1201 9417
1992 1375 3462
1 990 3789
1558 288 3081
596 201 546
2196 1827 4085
1687 826 2043
521 300 3741
1063 308 9547
760 1171 8024
167 1919 2003
1770 1238 790
1678 2208 9611
30 1707 4776
188 120 4033
1310 551 1579
1235 1985 8424
2090 1940 2548
2135 1206 9055
1981 541 6191
1892 390 6482
271 1976 6047
2133 572 4024
110 779 5314
1077 1102 244
453 967 6077
203 2094 6689
589 2036 4526
715 235 9840
1184 874 6086
618 167 2189
1192 1266 9935
172 1076 3871
2206 2221 3961
1564 968 789
1056 809 2797
1225 1995 6634
480 1097 3658
489 2192 8761
1745 136 9981
1633 203 4096
874 1791 4400
1765 426 5071
981 1279 3690
1122 1003 1324
850 61 3853
1432 605 9069
837 1916 363
116 494 4522
110 2103 2089
955 725 8174
1075 1495 4022
1950 1869 1470
1074 141 3585
1459 1551 5942
1755 2154 4010
1872 222 4809
1649 325 113
2088 685 5691
604 1166 8674
1527 2222 3730
1377 430 8465
2183 357 1899
1388 1160 5440
1509 2192 8650
364 1437 3989
1577 825 7925
747 995 6675
1210 885 8108
1072 1166 9980
604 1219 345
215 746 9721
116 1682 5365
609 1138 8608
869 497 8345
2144 1916 815
2071 354 1771
1656 127 4338
2004 156 4623
362 1031 7969
63 1348 428
1495 1912 916
331 1033 3761
1003 1964 5797
1707 1100 4582
2075 976 4159
1093 1840 8762
191 83 4313
1188 1559 1231
1452 854 8706
650 1671 8351
637 2014 2351
260 226 2635
551 1059 9091
829 1226 6834
1769 1033 3890
2153 321 9148
1613 2113 9562
1770 2198 7071
1958 2187 4473
164 1653 2451
2011 539 2960
2035 1548 825
1995 481 2209
356 2187 5769
1959 1306 2622
1867 1287 7432
2 481 9199
442 1547 241
2013 413 5881
38 430 7961
2199 1033 2603
6 417 5957
840 1741 6292
243 2209 7403
1487 1182 6273
546 2059 9474
517 671 4741
702 197 7961
1745 2088 2634
173 2131 586
1263 802 7985
54 1815 4321
1100 1956 8544
1492 1844 9341
73 133 3195
293 1345 5144
552 1954 1206
638 825 8684
106 758 7967
1666 1479 8591
401 1488 5631
1171 1338 5842
1123 829 6101
128 124 8094
437 2059 4030
532 1534 8249
840 1935 2440
772 402 7604
1447 1563 2611
2109 445 9278
602 1480 5982
1024 1086 3361
916 760 6749
964 74 5705
401 2055 6425
905 1325 4728
1923 1059 5827
1503 507 1236
1640 44 2419
1321 941 5212
1394 2004 7846
2085 1990 8798
897 83 2305
1085 429 6365
891 627 2153
1143 1245 8836
1868 99 4790
1000 1763 5095
644 1390 6889
2156 429 7812
1091 38 6848
1240 1164 2944
1785 880 1376
1375 1702 7942
389 2001 9015
922 139 357
973 533 4844
754 1670 2432
1319 197 489
811 1103 8376
1537 264 3701
949 657 3374
1982 1346 6858
2202 146 7424
257 7 2068
1355 1141 9668
1346 47 8432
817 574 4692
1557 2209 3143
1632 1364 1129
2074 2069 6341
1995 1273 2989
562 1203 5065
959 1846 9112
1424 913 4590
1905 666 6816
799 357 4359
701 86 7084
1576 1701 7360
1562 1802 6397
574 436 9590
491 2141 4017
2162 1798 3609
1253 951 3471
708 666 4249
546 1023 5307
88 692 9811
1465 559 2441
2143 1838 2839
1059 1132 9980
2164 1034 893
136 1758 4145
908 1936 8354
2152 1545 9390
1130 1774 3884
1814 162 323
428 1253 9834
126 1048 9074
1249 1862 7238
1383 1123 2637
1185 1658 312
1271 780 4364
415 1344 5735
699 1620 9290
1906 2183 8991
2166 1894 7508
554 1411 9715
1937 1570 518
1381 1438 8102
2136 1085 5554
998 223 276
313 2082 4453
670 1246 7049
250 1578 4222
1784 1984 3734
872 1604 9032
1072 1224 2006
2147 1938 4139
2011 1486 3877
1152 665 4693
1897 1262 6972
1736 1987 4743
885 366 1535
746 1929 3418
1863 1245 677
716 488 6121
1022 646 3229
1500 337 6855
606 271 8429
1670 274 5326
1913 247 8885
1416 1385 2749
568 610 979
416 1791 2281
1555 268 7507
1375 1311 5534
259 782 4181
1523 717 6158
848 1184 2926
354 321 5146
634 1760 6721
694 1701 6002
2101 1222 2974
939 1872 9931
1720 2165 9391
808 2073 1065
1221 1684 9107
728 375 7878
2206 830 706
790 575 7124
848 1101 4776
2153 2012 1735
77 1756 5286
186 666 1231
1523 1817 7085
1796 627 6528
566 717 1788
886 778 6140
2064 62 700
1540 1858 9062
382 1256 2456
1573 1197 4502
1548 877 8347
1338 928 2480
1365 191 6756
1988 1545 6621
741 1830 6936
428 55 709
1075 1280 4134
436 1424 2385
1546 888 7354
630 1919 4505
1219 217 8310
698 906 2150
1025 311 1291
754 891 9115
288 1316 7603
991 1295 3805
1821 2037 4508
831 541 2822
372 671 955
1235 59 6290
889 784 152
359 774 1003
671 1601 2081
134 1672 7662
2215 322 9138
1993 1891 943
602 1145 1505
1568 704 6450
2154 349 7475
1990 1367 9678
1217 247 4248
255 577 5573
223 588 3778
486 1284 1940
575 98 8455
1332 2129 4579
1681 255 8800
999 454 747
631 692 6559
1856 1519 363
1687 2169 3283
1507 1878 3103
805 700 303
364 599 2925
480 2052 2503
1789 515 386
1904 1098 6321
312 629 165
1739 275 3981
1706 453 3860
1709 1785 4955
1814 1764 80
2103 1182 2707
1579 367 6683
1360 1890 3993
1556 1621 6385
173 2145 3674
44 1731 7763
727 339 3025
1116 1489 2359
1012 232 5278
1820 1376 906
518 1386 647
681 481 2294
1172 1890 7848
679 1582 9011
915 411 184
1331 2187 9736
1073 1595 3495
6 1445 1437
442 1276 7450
362 1724 2087
1883 367 2869
783 1762 4647
2169 1413 6009
914 1664 1504
1165 2028 2525
1368 1488 1610
1383 2078 2741
654 1356 8351
1384 1088 9154
1355 2090 331
1716 597 8607
1119 332 3626
1097 1578 7810
1263 2108 7092
608 232 3851
1975 898 5364
1823 1922 7649
690 1451 7703
816 897 6856
1415 885 7336
1792 723 5626
1385 2195 1190
641 462 5827
261 1713 1655
881 1639 7400
37 1817 2969
935 1252 962
727 24 2566
1421 2175 6298
1663 92 7637
1218 241 1221
1968 1416 7440
1744 766 1196
1965 1818 8990
1634 54 1375
817 1643 7821
2049 16 8170
1985 1381 6369
1988 1598 4300
1706 57 7285
1936 1204 5543
154 702 7832
871 224 9011
633 888 6877
1151 24 8899
1279 2181 5555
1920 1711 1682
1946 533 3251
875 248 6291
678 1692 5431
1355 945 5841
1509 1569 7968
145 861 3218
681 1947 6383
670 980 2088
1129 1724 9506
2005 101 7485
1877 1659 4772
517 1849 146
1414 393 8028
2028 1740 4308
316 415 7665
1152 964 9772
888 950 9892
1993 1209 4548
1668 166 4063
125 824 5583
729 1052 1472
1632 505 617
1282 1851 4610
2003 197 4368
246 1623 6900
1441 1616 2568
1017 291 6423
469 49 3234
685 16 5108
567 695 578
1570 564 6611
50 180 9035
1335 95 122
228 812 2364
992 333 2577
2115 1163 1338
1946 1276 9499
397 41 6931
284 1867 2671
275 120 4928
1607 1090 9236
827 333 8197
1269 1138 3134
1910 534 372
354 1348 1652
1775 845 3842
523 1765 332
1402 1380 2073
1 1390 7629
1024 548 5961
266 433 9784
1790 771 4579
2156 2091 7939
87 1462 2183
453 1708 3209
1449 1291 6720
1322 1963 3129
549 1978 5329
1554 1662 1827
1594 1353 3562
335 1634 7163
2214 232 9370
1295 1394 9376
1845 1918 7616
356 1670 7333
2149 2057 728
2155 304 1791
1947 1784 9533
1520 356 3638
131 130 361
305 1267 7428
1557 145 4217
1883 760 6681
67 719 1403
875 367 3635
2061 849 2420
1420 2200 3658
